Bat1,Out/NotOut,Runs,Balls Faced,Strike Rate,4s,6s,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Dot Ball %,Dot Ball,Scoring Shot,Middled,Left Alone,Control,Actual Control,Scoring Rate,Others,Running btw %,Win/Loss,Team Run,In @ Pos#,Pitch,Pitch Index,Weather,Exp Control,Impact
13,Out,13,21,61.9,2,0,2,5,v New Zealand,Mohali,Home,23-Oct-16,66.7,14,7,18,0,0.857142857,,1.857142857,5,0.384615385,Win,289,1,Dusty/Dry,1.5,Clear,2.356418442,30.63343975
11,Out,11,19,57.89,2,0,2,5,v New Zealand,Ranchi,Home,26-Oct-16,73.7,14,5,14,1,0.789473684,,2.2,3,0.272727273,Loss,241,2,Dead/Flat,1,Overcast,2.202237049,24.22460753
70,Out,70,65,107.69,5,3,2,5,v New Zealand,Visakhapatnam,Home,29-Oct-16,46.2,30,35,,,0.83,0.83,2,32,0.457142857,Win,269,2,Dead/Flat,1,Sunny,2.29331874,160.5323118
91,Out,91,119,76.47,7,2,8,3,v Pakistan,Birmingham,Neutral,04-Jun-17,52.9,63,56,,,0.87,0.87,1.625,51,0.56043956,Win,319,1,Dusty/Dry ,1.5,Overcast,2.386910854,217.2088877
78,Out,78,79,98.73,6,3,6,4,v Sri Lanka,The Oval,Neutral,08-Jun-17,48.1,38,41,66,3,0.873417722,,1.902439024,36,0.461538462,Loss,322,1,Dead/Flat,1,Overcast,2.395082608,186.8164434
12,Out,12,20,60,1,1,1,5,v South Africa,The Oval,Neutral,11-Jun-17,80,16,4,12,2,0.7,,3,2,0.166666667,Win,193,1,Dead/Flat,1,Clear,2.013752707,24.16503249
123*,Not Out,123,129,95.34,15,1,7,3,v Bangladesh,Birmingham,Neutral,15-Jun-17,48.1,62,67,,,0.91,0.91,1.835820896,57,0.463414634,Win,265,1,Dusty/Dry,1.5,Overcast,2.484322533,305.5716716
0,Out,0,3,0,0,0,8,3,v Pakistan,The Oval,Neutral,18-Jun-17,100,3,0,0,1,0.333333333,,0,0,0,Loss,158,1,Green,2,Clear,1.395612425,0
4,Out,4,13,30.76,0,0,6,4,v Sri Lanka,Dambulla,Away,20-Aug-17,69.2,9,4,12,0,0.923076923,,1,4,1,Win,220,1,Dead/Flat,1,Sunny,2.517023174,10.06809269
54,Out,54,45,120,5,3,6,4,v Sri Lanka,Pallekele,Away,24-Aug-17,51.1,23,22,34,3,0.822222222,,2.454545455,16,0.296296296,Win,230,1,Dusty/Dry,1.5,Overcast,2.275551003,122.8797541
