Bat1,Out/NotOut,Runs,Balls Faced,Strike Rate,4s,6s,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Dot Ball %,Dot Ball,Scoring Shot,Middled,Left Alone,Control,Actual Control,Scoring Rate,Others,Running btw %,Win/Loss,Team Run,In @ Pos#,Pitch,Pitch Index,Weather,Exp Control,Impact
22,Out,22,36,61.11,0,0,8,3,v Pakistan,Wellington,Home,19-Jan-18,55.6,20.016,15.984,32,0,0.888888889,,1.376376376,22,1,Win,271,3,Green,2,Clear,2.432425455,53.51336001
8,Out,8,23,34.78,1,0,5,4,v England,Hamilton,Home,25-Feb-18,78.3,18.009,4.991,18,2,0.869565217,,1.602885193,4,0.5,Win,287,3,Dead/Flat,1,Clear,2.385873291,19.08698633
112*,Not Out,112,143,78.32,6,2,5,4,v England,Wellington,Home,03-Mar-18,48.3,69.069,73.931,,,0.92,0.92,1.51492608,76,0.678571429,Loss,230,3,Dusty/Dry,1.5,Clear,2.50929039,281.0405237
45,Out,45,48,93.75,3,1,5,4,v England,Dunedin,Home,07-Mar-18,45.8,21.984,26.016,45,0,0.9375,,1.729704797,27,0.6,Win,339,3,Dead/Flat,1,Clear,2.553589458,114.9115256
14,Out,14,25,56,1,0,5,4,v England,Christchurch,Home,10-Mar-18,68,17,8,16,4,0.8,,1.75,10,0.714285714,Loss,229,3,Dead/Flat,1,Clear,2.225540928,31.15757299
27,Out,27,38,71.05,2,0,6,4,v Pakistan,Abu Dhabi,Away,07-Nov-18,55.3,21.014,16.986,34,0,0.894736842,,1.589544331,19,0.703703704,Win,266,3,Dead/Flat,1,Sunny,2.446691838,66.06067963
1,Out,1,3,33.33,0,0,6,4,v Pakistan,Abu Dhabi,Away,09-Nov-18,66.7,2.001,0.999,3,0,1,,1.001001001,1,1,Loss,209,3,Dead/Flat,1,Sunny,2.718281828,2.718281828
76,Out,76,74,102.7,6,0,8,3,v Sri Lanka,Mount Maunganui,Home,03-Jan-19,32.4,23.976,50.024,66,1,0.905405405,,1.51927075,52,0.684210526,Win,371,3,Dead/Flat,1,Clear,2.47293426,187.9430038
1,Out,1,9,11.11,0,0,8,3,v Sri Lanka,Mount Maunganui,Home,05-Jan-19,88.9,8.001,0.999,8,0,0.888888889,,1.001001001,1,1,Win,319,3,Dead/Flat,1,Clear,2.432425455,2.432425455
55,Out,55,65,84.61,6,1,8,3,v Sri Lanka,Nelson,Home,08-Jan-19,55.4,36.01,28.99,53,2,0.846153846,,1.897205933,25,0.454545455,Win,364,3,Dead/Flat,1,Clear,2.330665493,128.1866021
64,Out,64,81,79.01,7,0,2,5,v India,Napier,Home,23-Jan-19,51.9,42.039,38.961,,,0.9,0.9,1.642668309,36,0.5625,Loss,157,3,Green,2,Windy,2.459603111,157.4145991
20,Out,20,11,181.81,1,2,2,5,v India,Mount Maunganui,Home,26-Jan-19,45.5,5.005,5.995,10,0,0.909090909,,3.336113428,4,0.2,Loss,234,3,Dead/Flat,1,Windy,2.482065084,49.64130168
